,LD,Velocity (km/s),a (degrees),$ (degrees),DI
558,2,1.5,15,45,0.53916
559,2,0.5,-60,30,0.13058
560,4,1.0,-60,30,0.30995
561,2,1.81,-60,75,0.23859
562,1,1.5,15,60,0.40734
563,1,1.81,45,0,0.82083
564,2,0.25,-15,60,0.00463
565,2,1.5,60,0,0.62842
566,1,2.15,75,0,0.98692
567,2,1.81,-30,45,0.60718
568,2,0.5,-75,45,0.10412
569,4,0.5,-15,15,0.13456
570,2,1.0,-30,45,0.2988
571,2,1.5,90,15,0.62575
572,4,1.0,-75,30,0.30932
573,2,1.0,-30,30,0.36993
574,2,1.5,-30,45,0.47941
575,2,1.5,-15,30,0.61359
576,1,0.25,90,45,0.01259
577,1,0.5,-90,15,0.15189
578,2,1.0,30,15,0.45234
579,1,1.5,45,60,0.40529
580,4,1.25,-90,45,0.39495
581,4,1.0,15,15,0.49943
582,2,2.15,-15,45,0.76215
583,4,1.25,-75,45,0.37314
584,4,2.15,15,30,0.95881
585,4,1.81,-45,45,0.5492
586,1,1.5,-75,15,0.65017
587,2,1.5,60,45,0.54498
588,1,1.5,60,15,0.66178
589,1,1.0,60,0,0.40935
590,2,2.15,90,30,0.85507
591,1,0.25,-75,0,0.02708
592,2,0.25,-90,75,0.0
593,4,1.0,45,60,0.26303
594,1,2.15,-90,30,0.92972
595,1,1.5,60,0,0.67384
596,1,1.0,-30,45,0.33389
597,1,1.5,-60,60,0.38315
598,1,0.5,45,75,0.02062
599,1,2.15,-45,15,1.00055
600,1,0.5,30,15,0.14855
601,1,1.0,45,30,0.39552
602,2,1.25,-90,60,0.32192
603,4,1.0,-15,75,0.05885
604,2,1.5,-30,30,0.59144
605,1,1.5,90,75,0.22893
606,1,0.25,-75,75,0.0
607,4,0.5,15,15,0.17218
608,1,0.5,-75,75,0.01884
609,4,0.25,0,45,0.00769
610,4,1.81,30,15,0.87511
611,2,1.0,-30,60,0.23299
612,2,1.81,-90,30,0.68933
613,1,0.25,90,60,0.0058
614,4,0.25,15,30,0.01911
615,1,1.81,15,75,0.25424
616,2,1.5,15,60,0.40216
617,2,1.0,-15,60,0.22775
618,2,1.0,15,60,0.2409
619,2,1.81,90,15,0.7608
620,1,0.5,-30,75,0.00761
621,4,0.5,75,0,0.12478
622,4,0.5,-90,60,0.05142
623,2,1.0,-75,45,0.28955
624,1,1.25,60,45,0.4245
625,2,0.5,-60,45,0.10495
626,1,1.25,30,60,0.33487
627,1,2.15,75,30,0.91151
628,1,2.15,45,60,0.58455
629,1,1.0,-75,75,0.12154
630,1,1.0,15,15,0.42213
631,2,1.5,-90,45,0.47767
632,1,2.15,0,45,0.77941
633,2,1.81,15,75,0.20369
634,1,1.0,15,45,0.33683
635,4,1.81,-90,75,0.25409
636,4,0.5,90,60,0.05142
637,1,1.25,-75,60,0.31019
638,4,2.15,-15,60,0.50675
639,2,1.25,90,15,0.49666
640,1,1.0,45,15,0.40425
641,1,0.5,-60,60,0.05167
642,4,0.25,-90,75,0.0
643,4,1.0,75,60,0.2303
644,1,0.5,-30,60,0.07431
645,2,1.0,-15,15,0.4227
646,4,0.25,75,60,0.00234
647,4,0.5,-90,0,0.11601
648,1,1.81,-15,45,0.64451
649,1,2.15,45,30,0.90294
650,1,0.5,30,75,0.02286
651,2,1.5,-90,15,0.62575
652,2,1.81,-15,0,0.85261
653,1,0.25,-90,0,0.02489
654,4,1.25,45,45,0.49544
655,2,1.0,-15,45,0.32568
656,2,0.5,-75,75,0.01416
657,4,1.5,-30,45,0.45805
658,2,2.15,75,45,0.7497
659,4,0.5,75,75,0.01108
660,2,2.15,90,75,0.31657
661,2,0.25,-60,0,0.02281
662,2,1.0,-90,0,0.39596
663,2,1.25,30,15,0.57173
664,4,0.25,0,15,0.02688
665,4,1.81,-15,60,0.40596
666,2,1.81,-15,30,0.73667
667,4,2.15,30,0,1.04027
668,2,1.25,-45,30,0.4599
669,2,1.5,90,60,0.40724
670,1,1.81,75,0,0.81916
671,1,1.25,15,30,0.51259
672,1,0.5,60,60,0.07401
673,2,2.15,0,60,0.58282
674,2,0.5,-15,60,0.06292
675,2,0.25,30,30,0.0193
676,1,0.5,-75,30,0.13732
677,2,1.0,90,0,0.39596
678,4,0.25,90,75,0.0
679,2,2.15,-90,60,0.58758
680,1,0.25,60,15,0.02687
681,4,2.15,15,0,1.103
682,4,1.25,-90,75,0.19908
683,1,2.15,90,30,0.92972
684,1,0.25,-15,0,0.02401
685,2,0.5,0,75,0.01698
686,2,1.5,45,45,0.55209
687,2,1.5,-60,30,0.56743
688,4,1.25,-45,60,0.28621
689,1,1.0,-15,0,0.43927
690,4,1.25,-75,60,0.27739
691,2,0.25,-90,45,0.01109
692,2,0.25,45,30,0.02272
693,2,0.25,-75,60,0.00307
694,4,1.25,-90,0,0.45403
695,4,0.25,90,0,0.01896
696,2,1.25,15,15,0.58029
697,1,0.5,15,30,0.13818
698,4,0.25,0,0,0.03437
699,2,1.81,45,60,0.49854
700,4,1.0,-45,75,0.07352
701,4,1.81,-75,60,0.42519
702,1,1.81,0,60,0.49161
703,4,2.15,-75,45,0.68852
704,4,1.25,-30,60,0.26697
705,4,0.5,-15,0,0.1488
706,1,0.5,90,75,0.02148
707,2,1.0,-15,0,0.46618
708,4,1.81,-60,75,0.22289
709,2,2.15,30,30,0.91315
710,4,2.15,-75,75,0.33149
711,1,1.5,60,60,0.4034
712,1,2.15,45,75,0.30037
713,2,0.5,-90,45,0.10805
714,1,2.15,60,45,0.76922
715,1,0.25,60,45,0.0131
716,2,1.25,0,0,0.60334
717,2,1.25,-90,15,0.49666
718,2,1.0,45,75,0.12721
719,2,0.25,75,15,0.0225
720,1,1.81,45,15,0.79565
721,2,1.25,15,45,0.44034
722,2,0.25,-15,45,0.01059
723,2,1.5,-60,15,0.61703
724,1,1.25,0,30,0.5065
725,1,2.15,45,45,0.75682
726,1,0.5,-15,60,0.06996
727,2,1.25,-15,45,0.42151
728,4,1.5,45,30,0.66183
729,4,1.0,-15,30,0.35006
730,4,2.15,-90,60,0.54222
731,4,1.0,45,45,0.3962
732,1,1.5,30,75,0.22269
733,1,0.25,0,30,0.02094
734,4,1.25,90,15,0.45945
735,4,1.0,0,0,0.51507
736,1,0.25,-15,45,0.01423
737,1,1.81,-45,75,0.22669
738,2,1.5,-45,75,0.14185
739,4,1.5,30,75,0.16336
740,1,1.25,-90,0,0.54926
741,1,1.81,90,0,0.81403
742,4,1.25,-60,45,0.35767
743,4,0.5,-45,30,0.12387
744,2,0.25,0,60,0.00475
745,2,1.0,-75,30,0.35449
746,2,2.15,45,15,0.99869
747,4,0.5,-45,15,0.13447
748,1,1.0,-45,45,0.33279
749,2,1.81,-75,0,0.76857
750,1,1.0,75,0,0.41651
751,4,1.5,45,60,0.43815
752,1,1.5,-90,45,0.50248
753,1,1.0,-75,30,0.38037
754,1,1.25,-30,15,0.5304
755,1,1.81,30,45,0.6207
756,4,0.25,30,15,0.02811
757,4,1.0,30,30,0.46441
758,4,1.25,-30,30,0.43712
759,4,1.5,0,30,0.62702
760,4,1.81,-60,45,0.54199
761,1,1.0,-30,75,0.07146
762,1,1.25,-60,15,0.54238
763,1,2.15,-60,75,0.2783
764,1,0.5,-15,0,0.14988
765,4,1.0,-60,15,0.34555
766,4,1.25,75,60,0.34951
767,2,1.25,90,45,0.40437
768,2,1.0,-30,75,0.07208
769,4,2.15,-75,0,0.97138
770,4,1.5,-15,15,0.66084
771,2,1.0,30,0,0.42518
772,1,1.25,-30,75,0.13361
773,2,0.5,-75,15,0.13609
774,4,0.5,60,60,0.07246
775,4,1.25,75,30,0.44225
776,2,1.25,-90,45,0.40437
777,2,1.5,-90,30,0.57375
778,1,0.5,75,45,0.11822
779,4,1.0,-30,75,0.07286
780,4,1.5,-60,30,0.50469
781,4,2.15,30,30,0.94346
782,2,0.5,30,75,0.01457
783,4,0.25,-90,45,0.00766
784,2,1.5,-45,30,0.56969
785,2,1.0,0,60,0.23683
786,2,1.25,75,45,0.41963
787,2,1.0,45,60,0.25814
788,2,1.5,45,60,0.428
789,1,2.15,15,15,0.98169
790,1,0.5,-45,15,0.14571
791,1,1.5,-75,30,0.60079
792,2,2.15,-30,0,1.022
793,2,1.0,45,15,0.41014
794,4,1.25,0,45,0.40005
